-1,0.00084175,5.6465e-17
-0.98468,0.17439,1.0584e-16
-0.93939,0.34285,7.2061e-17
-0.86563,0.50069,7.2061e-17
-0.76513,0.64388,-7.2061e-17
-0.64138,0.76722,0
-0.49851,0.86689,0
-0.34094,0.94008,0
-0.17242,0.98502,0
0.00013875,1,0
0.17305,0.98491,7.2061e-17
0.34168,0.93982,0
0.50095,0.86548,0
0.64303,0.76584,-7.2061e-17
0.76567,0.64323,7.2061e-17
0.86583,0.50034,-7.2061e-17
0.93969,0.34202,6.7557e-18
0.98483,0.17353,8.332e-17
1,-0.00058083,1.4044e-17
0.98468,-0.17438,-9.0076e-18
0.93945,-0.34269,0
0.86569,-0.50058,7.2061e-17
0.76554,-0.64339,0
0.64201,-0.7667,7.2061e-17
0.49894,-0.86664,-7.2061e-17
0.34025,-0.94034,-7.2061e-17
0.17157,-0.98517,0
-0.0018538,-1,0
-0.17461,-0.98464,0
-0.34219,-0.93963,7.2061e-17
-0.49845,-0.86692,-1.4412e-16
-0.64043,-0.76802,7.2061e-17
-0.76344,-0.64587,0
-0.86371,-0.50399,-7.2061e-17
-0.93761,-0.34769,-1.8015e-17
-0.98355,-0.18065,2.2519e-17
